,title,artist,number,duration,t_eps,href,ds
0,i_dont_mind,james_brown,3,02:31,1.0,,billboard
1,youve_got_a_friend,roberta_flack_and_donny_hathaway,4,03:27,0.0,,billboard
2,the_rose,bette_midler,6,03:41,-1.0,,billboard
3,an_innocent_man,billy_joel,10,05:18,0.0,,billboard
4,lookin_for_love,johnny_lee,12,03:32,0.0,,billboard
5,last_child,aerosmith,15,03:26,1.0,,billboard
6,she_bop,cyndi_lauper,16,03:49,0.0,,billboard
7,kiss_on_my_list,hall__and__oates,18,03:51,0.0,,billboard
8,heres_some_love,tanya_tucker,19,02:58,-1.0,,billboard
9,never_my_love,the_5th_dimension,22,03:58,1.0,,billboard
10,and_she_was,talking_heads,23,03:39,0.0,,billboard
11,chicago,graham_nash,25,04:01,0.0,,billboard
12,rock_n_roll_fantasy,bad_company,27,03:20,1.0,,billboard
13,the_joker,steve_miller_band,29,03:39,2.0,,billboard
14,crazy_on_you,heart,33,04:52,0.0,,billboard
15,yvonne_elliman,if_i_cant_have_you,34,03:00,0.0,,billboard
16,jimi_hendrix,freedom,35,04:23,1.0,,billboard
17,foggy_mountain_breakdown,flatt__and__scruggs,37,02:42,1.0,,billboard
18,the_power,snap,40,03:41,1.0,,billboard
19,absolutely_right,five_man_electrical_band,41,02:22,0.0,,billboard
20,two_hearts,phil_collins,43,03:25,1.0,,billboard
21,some_like_it_hot,the_power_station,44,05:06,0.0,,billboard
22,ill_take_you_there,the_staple_singers,46,03:15,1.0,,billboard
23,people,barbara_streisand,49,03:41,1.0,,billboard
24,love_me_do,beatles,50,02:23,0.0,,billboard
25,carrie,cliff_richard,51,03:45,0.0,,billboard
26,over_the_hills_and_far_away,led_zeppelin,53,05:08,0.0,,billboard
27,last_kiss,j._frank_wilson__and__the_cavaliers,54,02:28,0.0,,billboard
28,smoking_gun,the_robert_cray_band,55,04:01,0.0,,billboard
29,is_that_all_there_is,peggy_lee,59,04:24,1.0,,billboard
30,i_put_a_spell_on_you,creedence_clearwater_revival,61,04:14,0.0,,billboard
31,hurts_to_be_in_love,gino_vanelli,62,03:43,1.0,,billboard
32,cry_softly_lonely_one,roy_orbison,64,02:53,0.0,,billboard
33,do_you_love_me,the_contours,66,02:54,1.0,,billboard
34,bongo_stomp,little_joey__and__the_flips,67,02:17,0.0,,billboard
35,black_cars,gino_vannelli,68,03:10,1.0,,billboard
36,hot_fun_in_the_summertime,sly__and__the_family_stone,70,02:38,0.0,,billboard
37,get_together,the_youngbloods,72,04:37,0.0,,billboard
38,crazy_on_you,heart,73,04:52,-1.0,,billboard
39,nowhere_to_run,martha_reeves__and__the_vandellas,74,02:59,1.0,,billboard
40,drivin_wheel,foghat,75,04:31,0.0,,billboard
41,dial_my_heart,the_boys,78,04:25,1.0,,billboard
42,cold_sweat_-_part_1,james_brown,79,02:52,0.0,,billboard
43,you_can_call_me_al,paul_simon,81,04:41,0.0,,billboard
44,red_red_wine,ub40,83,05:21,0.0,,billboard
45,i_just_cant_stop_loving_you,michael_jackson,85,04:14,0.0,,billboard
46,space_oddity,david_bowie,86,05:15,0.0,,billboard
47,buy_for_me_the_rain,nitty_gritty_dirt_band,88,02:23,0.0,,billboard
48,true,spandau_ballet,91,05:43,0.0,,billboard
49,shock_the_monkey,peter_gabriel,92,03:59,0.0,,billboard
50,wild_horses,rolling_stones,94,05:44,0.0,,billboard
51,drivin_wheel,foghat,95,04:31,0.0,,billboard
52,motown_philly,boyz_ii_men,97,03:54,-1.0,,billboard
53,a_trick_of_the_night,bananarama,99,04:09,0.0,,billboard
54,maggie_may,rod_stewart,100,05:50,0.0,,billboard
55,for_the_good_times,ray_price,102,03:50,1.0,,billboard
56,we_two,little_river_band,104,04:34,0.0,,billboard
57,the_spirit_of_radio,rush,105,04:58,1.0,,billboard
58,if,bread,106,02:36,1.0,,billboard
59,sweet_home_alabama,lynyrd_skynyrd,107,04:44,0.0,,billboard
60,ma_belle_amie,the_tee_set,109,03:17,0.0,,billboard
61,eight_miles_high,the_byrds,111,03:35,0.0,,billboard
62,letter_full_of_tears,gladys_knight__and__the_pips,112,02:46,-1.0,,billboard
63,sunshine_of_your_love,cream,114,04:13,0.0,,billboard
64,sweet_little_rock_n_roll,chuck_berry,115,02:22,0.0,,billboard
65,let_it_rain,eric_clapton,116,05:02,0.0,,billboard
66,stand_by_me,david_ruffin_jimmy_ruffin,119,03:49,0.0,,billboard
67,be_my_baby,the_ronettes,120,02:39,0.0,,billboard
68,have_you_ever_loved_somebody,freddie_jackson,122,04:37,0.0,,billboard
69,silent_night,bing_crosby,123,02:42,-1.0,,billboard
70,promises,eric_clapton,124,03:01,1.0,,billboard
71,willie_nelson,blue_eyes_cryin,126,02:21,0.0,,billboard
72,stop_the_wedding,etta_james,127,02:54,1.0,,billboard
73,brandy,looking_glass,128,03:08,0.0,,billboard
74,tumbling_dice,the_rolling_stones,130,03:48,0.0,,billboard
75,i_wouldnt_have_missed_it_for_the_world,ronnie_milsap,131,03:36,0.0,,billboard
76,detroit_city,bobby_bare,133,02:48,-1.0,,billboard
77,i_had_too_much_to_dream,electric_prunes,134,03:00,0.0,,billboard
78,the_way_you_do_the_things_you_do,ub40,139,03:03,0.0,,billboard
79,la_grange,zz_top,140,03:54,0.0,,billboard
80,shock_the_monkey,peter_gabriel,141,03:59,0.0,,billboard
81,runaround_sue,dion,145,02:43,0.0,,billboard
82,wheels,the_string-a-longs,147,02:04,-1.0,,billboard
